antecedent,confidence,consequent
['Init_Test_nKhtqDhAqhpXRoB'],5,['Init_Test_DrqobvatwhashXq']
['Init_Test_DrqobvatwhashXq'],5,['Init_Test_nKhtqDhAqhpXRoB']
['Init_Test_vOPjhtZSHmDWEtj'],5,['Init_Test_GisqJogMpeIqvRH']
['Init_Test_GisqJogMpeIqvRH'],5,['Init_Test_vOPjhtZSHmDWEtj']
['Init_Test_PvluLrGxFSeQXxs'],5,['Init_Test_OHcXnbpHqAOjgYK']
['Init_Test_OHcXnbpHqAOjgYK'],6,['Init_Test_PvluLrGxFSeQXxs']
['Init_Test_zeZZnfovuhbQPES'],5,['Init_Test_GisqJogMpeIqvRH']
['Init_Test_GisqJogMpeIqvRH'],5,['Init_Test_zeZZnfovuhbQPES']
['Init_Test_GisqJogMpeIqvRH'],6,['Init_Test_LjOhIHgKkRAwewb']
['Init_Test_LjOhIHgKkRAwewb'],6,['Init_Test_GisqJogMpeIqvRH']
['Init_Test_zeZZnfovuhbQPES'],5,['Init_Test_LjOhIHgKkRAwewb']
['Init_Test_LjOhIHgKkRAwewb'],5,['Init_Test_zeZZnfovuhbQPES']
['Init_Test_zunyUarEjTVTaVo'],6,['Init_Test_PvluLrGxFSeQXxs']
['Init_Test_PvluLrGxFSeQXxs'],5,['Init_Test_zunyUarEjTVTaVo']
['Init_Test_zunyUarEjTVTaVo'],5,['Init_Test_vOPjhtZSHmDWEtj']
['Init_Test_vOPjhtZSHmDWEtj'],5,['Init_Test_zunyUarEjTVTaVo']
['Init_Test_PvluLrGxFSeQXxs'],5,['Init_Test_DIYXVNmJHMsGaCH']
['Init_Test_DIYXVNmJHMsGaCH'],6,['Init_Test_PvluLrGxFSeQXxs']
['Init_Test_IWiMGlYhhuHGzmh'],5,['Init_Test_SkGBPyolFWYuKoC']
['Init_Test_SkGBPyolFWYuKoC'],6,['Init_Test_IWiMGlYhhuHGzmh']
['Init_Test_hdScBoXCdMTveEZ'],6,['Init_Test_SkGBPyolFWYuKoC']
['Init_Test_SkGBPyolFWYuKoC'],6,['Init_Test_hdScBoXCdMTveEZ']
['Init_Test_IlEKbkUHNsqDigi'],6,['Init_Test_vOPjhtZSHmDWEtj']
['Init_Test_vOPjhtZSHmDWEtj'],5,['Init_Test_IlEKbkUHNsqDigi']
['Init_Test_iTnkyIDAvUXgZBD'],6,['Init_Test_isEmPDzHZNkqweG']
['Init_Test_isEmPDzHZNkqweG'],7,['Init_Test_iTnkyIDAvUXgZBD']
['Init_Test_qYyRBlANofmywAV'],5,['Init_Test_ktjbZjNkVOHJQjh']
['Init_Test_ktjbZjNkVOHJQjh'],6,['Init_Test_qYyRBlANofmywAV']
['Init_Test_YbCZcRvCjFsYRCB'],6,['Init_Test_IlEKbkUHNsqDigi']
['Init_Test_IlEKbkUHNsqDigi'],6,['Init_Test_YbCZcRvCjFsYRCB']
['Init_Test_DznmCuKTLzOmkmM'],6,['Init_Test_vOPjhtZSHmDWEtj']
['Init_Test_vOPjhtZSHmDWEtj'],6,['Init_Test_DznmCuKTLzOmkmM']
['Init_Test_qlIfwHjKYohnQOb'],6,['Init_Test_LjOhIHgKkRAwewb']
['Init_Test_LjOhIHgKkRAwewb'],5,['Init_Test_qlIfwHjKYohnQOb']
['Init_Test_bspxwVBudWSqtEL'],6,['Init_Test_IRpbLqpiSoAJLQt']
['Init_Test_IRpbLqpiSoAJLQt'],6,['Init_Test_bspxwVBudWSqtEL']
['Init_Test_oHtKaNQQwkGBOtD'],6,['Init_Test_YdbFZEJYFvuvivW']
['Init_Test_YdbFZEJYFvuvivW'],6,['Init_Test_oHtKaNQQwkGBOtD']
['Init_Test_kBykpcEeGbLWEzW'],6,['Init_Test_GisqJogMpeIqvRH']
